dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
NSD,ResNet,features/layer4-1,V3v,subj01,0.42504138985139184,0.6822676315228388,0.19998550110661065,0.4741838715165998,0.45232044940908,0.43538974431630806
NSD,ResNet,features/layer4-1,hV4,subj01,0.4107643332194899,0.7110299892488713,0.18567021433331582,0.5074046577664325,0.447944878357176,0.39436836171484974
NSD,ResNet,features/layer4-1,FFA-1,subj01,0.42788864463163573,0.7856433995022889,0.19819162069655213,0.613140731093659,0.6147539801268886,0.5730349602520036
NSD,ResNet,features/layer4-1,VWFA-1,subj01,0.3857553649396663,0.6910021668034207,0.15825998884097248,0.475296344275782,0.5124356432302962,0.34071699530526384
NSD,ResNet,features/layer4-1,PPA,subj01,0.464320806304896,0.8274014420964662,0.229604952270905,0.6810566513522367,0.5061149938439637,0.559928926939317
NSD,ResNet,features/layer4-1,OPA,subj01,0.4146895221607932,0.745857405781367,0.1816838770321456,0.5504603812971217,0.4787880264554532,0.36829964492562706
NSD,ResNet,features/layer4-1,EBA,subj01,0.4873179261834576,0.7671334953238536,0.26061804818210366,0.5882353363521604,0.7026660648485002,0.6593787498800224
NSD,ResNet,features/layer1-0,V1v,subj02,0.5215887667601317,0.7579402272220553,0.30010642727603115,0.5764841330788791,0.5456641231953105,0.5764971906159319
NSD,ResNet,features/layer1-0,V2v,subj02,0.4188639540577196,0.6495938280152257,0.19708510534446724,0.4227704127929034,0.42026825400556095,0.4382119794631146
NSD,ResNet,features/layer1-0,V3v,subj02,0.40750450365507607,0.6318867177002481,0.18378664861893695,0.3982296696238478,0.3679104082245152,0.38883993183893667
NSD,ResNet,features/layer1-0,hV4,subj02,0.39418000320729246,0.5904255356412736,0.16856540167478587,0.34816653194349917,0.300421420981414,0.32711475450994465
NSD,ResNet,features/layer1-0,FFA-1,subj02,0.28435412698960943,0.4657608717341211,0.08493346774623013,0.21196351775389566,0.20940537720356867,0.20134164212070943
NSD,ResNet,features/layer1-0,VWFA-1,subj02,0.24100851087303804,0.40517739617520504,0.0608523256597846,0.15765894274095865,0.16947162350959502,0.15524181797940734
NSD,ResNet,features/layer1-0,PPA,subj02,0.35096686597624366,0.5699197738865766,0.13356979178322817,0.32294199846702526,0.31598293663152915,0.32501387396676495
NSD,ResNet,features/layer1-0,OPA,subj02,0.2873875212630451,0.4798052724782068,0.08444886141872611,0.22123261501858826,0.24335203686782078,0.1621984721668654
NSD,ResNet,features/layer1-0,EBA,subj02,0.2712787137015244,0.43070009834448797,0.0758228111216659,0.17546874088278228,0.21706688279172068,0.19976112346446262
NSD,ResNet,features/layer2-0,V1v,subj02,0.5484670658683113,0.798513364281524,0.3302454769131117,0.6385023753065284,0.5925148676116078,0.6225385610650811
NSD,ResNet,features/layer2-0,V2v,subj02,0.4656628269813084,0.7229757304329452,0.24244523436005502,0.5233116332873856,0.4994177656000135,0.5281875253716973
NSD,ResNet,features/layer2-0,V3v,subj02,0.4584412305149827,0.711610969747934,0.23190855607709407,0.5054342947943241,0.44813913923360427,0.4849362453530432
NSD,ResNet,features/layer2-0,hV4,subj02,0.4520102462789003,0.679291108921585,0.2200414436206442,0.4615116416830668,0.38264734512260223,0.4178494897885272
NSD,ResNet,features/layer2-0,FFA-1,subj02,0.33534454904356714,0.5484904622947684,0.12088534466411495,0.2955138563957312,0.3072514248301507,0.2865937220310547
NSD,ResNet,features/layer2-0,VWFA-1,subj02,0.2971907889865737,0.4982051282924118,0.09428995917233504,0.23862373174988402,0.2670690478045781,0.2414247305216542
NSD,ResNet,features/layer2-0,PPA,subj02,0.41284566505340287,0.6734564113977313,0.18433766463129675,0.45323939846423505,0.40951263550369965,0.432296025641269
NSD,ResNet,features/layer2-0,OPA,subj02,0.3461534704860498,0.5759352934189316,0.12816764654498528,0.3295891650797352,0.34314069910938866,0.24857271934028793
NSD,ResNet,features/layer2-0,EBA,subj02,0.32771147060896955,0.5171083733659185,0.11584404468494054,0.25859443193204,0.32787168088056273,0.30104441289268785
NSD,ResNet,features/layer3-0,V1v,subj02,0.5631234692954162,0.8210010939646452,0.34829484018893353,0.6753780824654095,0.6256614296878084,0.6505724677746934
NSD,ResNet,features/layer3-0,V2v,subj02,0.5026015678990458,0.7793301652434061,0.2839744418158086,0.6100681297856584,0.5815824588965034,0.5986580616506011
NSD,ResNet,features/layer3-0,V3v,subj02,0.49930089921973503,0.7756116365147377,0.2760100964800867,0.6024050552248171,0.5299635970673388,0.5593696458976054
NSD,ResNet,features/layer3-0,hV4,subj02,0.5073458391122303,0.7633907582054291,0.27623070039994996,0.5822766143122988,0.48819248745981625,0.5008793780199192
NSD,ResNet,features/layer3-0,FFA-1,subj02,0.40935880290985405,0.6694121440648028,0.1814579513008552,0.4418579899649824,0.4340843317686413,0.43096400225862264
NSD,ResNet,features/layer3-0,VWFA-1,subj02,0.3647403183623551,0.6130442172041426,0.14339966266590157,0.36833534554928243,0.40097144917862787,0.3565205889006836
NSD,ResNet,features/layer3-0,PPA,subj02,0.47015012428542907,0.7691512676480201,0.23958978991251317,0.5938075229764377,0.5031176758798708,0.5443415846364033
